carat,cut,color,clarity,depth,table,price,x,y,z,log_price,cut_encoded,color_encoded,clarity_encoded
0.79,Ideal,E,VS1,62.0,56.0,4240,5.9,5.93,3.67,8.352318548226004,4,5,4
0.91,Ideal,G,SI1,62.1,57.0,4240,6.2,6.23,3.86,8.352318548226004,4,3,2
1.04,Premium,E,SI2,61.6,59.0,4240,6.57,6.55,4.04,8.352318548226004,3,5,1
1.04,Premium,E,SI2,61.0,60.0,4240,6.57,6.52,3.99,8.352318548226004,3,5,1
1.05,Premium,G,SI2,61.3,58.0,4241,6.55,6.6,4.03,8.352554369474591,3,3,1
1.08,Very Good,G,SI2,59.8,57.0,4241,6.66,6.72,4.0,8.352554369474591,2,3,1
1.05,Very Good,G,SI2,62.5,60.0,4241,6.45,6.5,4.05,8.352554369474591,2,3,1
1.08,Good,G,SI2,63.2,57.0,4241,6.5,6.54,4.12,8.352554369474591,1,3,1
1.02,Very Good,F,SI2,60.3,59.0,4241,6.5,6.53,3.93,8.352554369474591,2,4,1
1.05,Good,G,SI2,63.2,54.0,4241,6.49,6.52,4.11,8.352554369474591,1,3,1
1.05,Very Good,G,SI2,61.6,60.0,4241,6.49,6.56,4.02,8.352554369474591,2,3,1
0.9,Ideal,D,SI2,60.8,56.0,4241,6.24,6.26,3.8,8.352554369474591,4,6,1
0.61,Ideal,D,VVS1,62.1,56.0,4241,5.43,5.46,3.38,8.352554369474591,4,6,6
1.01,Ideal,I,SI1,60.2,59.0,4241,6.54,6.49,3.92,8.352554369474591,4,1,2
0.9,Good,F,SI1,61.8,63.0,4241,6.21,6.18,3.83,8.352554369474591,1,4,2
0.91,Premium,G,VS2,59.5,58.0,4241,6.34,6.26,3.75,8.352554369474591,3,3,3
1.01,Good,H,SI1,60.6,61.0,4242,6.35,6.39,3.86,8.352790135124629,1,2,2
1.01,Good,H,SI1,60.3,64.0,4242,6.49,6.52,3.92,8.352790135124629,1,2,2
1.01,Very Good,H,SI1,62.7,59.0,4242,6.27,6.33,3.95,8.352790135124629,2,2,2
1.01,Premium,I,SI1,62.9,58.0,4242,6.37,6.34,4.0,8.352790135124629,3,1,2
1.01,Premium,I,SI1,61.8,59.0,4242,6.44,6.37,3.96,8.352790135124629,3,1,2
1.01,Premium,H,SI2,61.9,60.0,4242,6.43,6.4,3.97,8.352790135124629,3,2,1
1.01,Premium,H,SI2,61.1,59.0,4242,6.54,6.46,3.97,8.352790135124629,3,2,1
1.01,Ideal,G,SI2,62.4,56.0,4242,6.42,6.37,3.99,8.352790135124629,4,3,1
1.01,Premium,H,SI2,59.9,59.0,4242,6.51,6.48,3.89,8.352790135124629,3,2,1
1.01,Premium,G,SI2,59.1,59.0,4242,6.55,6.51,3.86,8.352790135124629,3,3,1
1.01,Premium,H,SI2,58.8,58.0,4242,6.62,6.57,3.88,8.352790135124629,3,2,1
1.01,Premium,H,SI2,61.6,59.0,4242,6.44,6.39,3.95,8.352790135124629,3,2,1
1.01,Premium,H,SI2,61.5,60.0,4242,6.4,6.34,3.92,8.352790135124629,3,2,1
1.01,Ideal,D,SI2,62.0,57.0,4242,6.42,6.38,3.97,8.352790135124629,4,6,1
1.01,Premium,H,SI2,59.9,59.0,4242,6.55,6.48,3.9,8.352790135124629,3,2,1
1.01,Good,F,SI2,63.7,59.0,4242,6.38,6.28,4.03,8.352790135124629,1,4,1
0.84,Premium,F,VVS2,60.4,62.0,4243,6.15,6.1,3.7,8.353025845202325,3,4,5
1.01,Very Good,I,SI1,61.2,59.0,4243,6.34,6.44,3.92,8.353025845202325,2,1,2
0.76,Ideal,D,VS1,62.0,56.0,4243,5.84,5.87,3.63,8.353025845202325,4,6,4
1.02,Ideal,H,SI2,60.5,56.0,4243,6.53,6.57,3.96,8.353025845202325,4,2,1
0.92,Good,G,VS2,63.4,57.0,4243,6.17,6.23,3.93,8.353025845202325,1,3,3
0.7,Very Good,D,VVS1,62.7,54.0,4244,5.67,5.71,3.57,8.353261499733874,2,6,6
1.04,Very Good,F,SI2,62.8,55.0,4244,6.41,6.48,4.05,8.353261499733874,2,4,1
1.09,Very Good,D,SI2,59.2,63.0,4244,6.67,6.71,3.96,8.353261499733874,2,6,1
1.01,Very Good,I,SI2,63.5,57.0,4244,6.35,6.37,4.04,8.353261499733874,2,1,1
1.01,Ideal,I,SI2,62.8,57.0,4244,6.36,6.41,4.01,8.353261499733874,4,1,1
1.1,Good,F,SI2,63.8,56.0,4244,6.53,6.48,4.15,8.353261499733874,1,4,1
1.01,Very Good,E,SI2,63.3,58.0,4244,6.36,6.3,4.01,8.353261499733874,2,5,1
1.02,Good,D,SI2,57.7,64.0,4246,6.7,6.62,3.84,8.353732642263202,1,6,1
0.7,Ideal,F,VVS1,61.6,56.0,4246,5.86,5.71,3.51,8.353732642263202,4,4,6
0.9,Premium,H,VS2,60.4,59.0,4246,6.27,6.24,3.78,8.353732642263202,3,2,3
0.92,Good,H,VS2,63.4,57.0,4247,6.11,6.17,3.89,8.353968130313271,1,2,3
0.96,Very Good,G,SI1,63.2,57.0,4247,6.27,6.23,3.95,8.353968130313271,2,3,2
1.03,Premium,I,SI1,62.0,58.0,4248,6.43,6.47,4.0,8.354203562921775,3,1,2
1.01,Premium,G,SI2,62.5,60.0,4249,6.34,6.39,3.98,8.354438940114811,3,3,1
1.01,Very Good,G,SI2,61.0,58.0,4249,6.43,6.48,3.94,8.354438940114811,2,3,1
1.01,Very Good,G,SI2,62.0,58.0,4249,6.37,6.41,3.96,8.354438940114811,2,3,1
0.92,Ideal,G,SI1,62.6,55.0,4249,6.22,6.24,3.9,8.354438940114811,4,3,2
1.21,Ideal,H,SI1,62.7,56.0,4249,6.81,6.78,4.26,8.354438940114811,4,2,2
1.21,Ideal,H,SI1,62.9,57.0,4249,6.78,6.74,4.25,8.354438940114811,4,2,2
1.01,Very Good,H,SI1,63.4,55.0,4249,6.32,6.27,3.99,8.354438940114811,2,2,2
1.15,Premium,E,SI2,62.5,58.0,4250,6.65,6.72,4.18,8.354674261918463,3,5,1
1.15,Very Good,E,SI2,61.7,60.0,4250,6.7,6.78,4.16,8.354674261918463,2,5,1
1.03,Good,E,SI2,63.8,62.0,4250,6.3,6.37,4.04,8.354674261918463,1,5,1
1.12,Premium,H,SI2,62.4,58.0,4250,6.63,6.58,4.12,8.354674261918463,3,2,1
1.1,Ideal,H,SI2,61.9,56.0,4250,6.65,6.63,4.11,8.354674261918463,4,2,1
0.93,Premium,E,SI2,60.5,57.0,4250,6.37,6.32,3.84,8.354674261918463,3,5,1
1.2,Premium,G,SI2,62.6,61.0,4250,6.73,6.68,4.2,8.354674261918463,3,3,1
0.9,Premium,G,VS2,62.1,59.0,4252,6.15,6.09,3.8,8.355144739461839,3,3,3
1.04,Very Good,D,SI2,58.2,59.0,4252,6.62,6.67,3.87,8.355144739461839,2,6,1
1.02,Very Good,H,SI2,63.4,54.0,4252,6.37,6.43,4.06,8.355144739461839,2,2,1
0.72,Ideal,F,VVS1,62.0,56.0,4252,5.73,5.75,3.56,8.355144739461839,4,4,6
0.9,Fair,D,SI1,63.8,61.0,4252,6.07,5.99,3.85,8.355144739461839,0,6,2
1.04,Premium,I,SI1,62.5,62.0,4252,6.45,6.39,4.01,8.355144739461839,3,1,2
0.73,Ideal,D,VVS2,62.2,56.0,4252,5.79,5.73,3.58,8.355144739461839,4,6,5
0.91,Very Good,D,SI1,59.3,58.0,4253,6.33,6.38,3.77,8.355379895253634,2,6,2
0.92,Very Good,D,SI1,60.7,58.0,4253,6.27,6.39,3.84,8.355379895253634,2,6,2
1.05,Ideal,J,SI1,62.3,56.0,4253,6.47,6.5,4.04,8.355379895253634,4,0,2
0.9,Good,F,VS2,59.8,61.0,4253,6.18,6.22,3.71,8.355379895253634,1,4,3
0.9,Good,F,VS2,63.3,57.0,4253,6.04,6.09,3.84,8.355379895253634,1,4,3
0.92,Very Good,E,SI1,63.0,57.0,4254,6.17,6.21,3.9,8.355614995760183,2,5,2
0.9,Very Good,H,VS2,60.0,56.0,4255,6.3,6.34,3.79,8.355850041007475,2,2,3
1.0,Very Good,F,SI2,62.9,56.0,4255,6.36,6.42,4.02,8.355850041007475,2,4,1
1.0,Very Good,F,SI2,59.9,61.0,4255,6.42,6.46,3.86,8.355850041007475,2,4,1
1.06,Very Good,I,SI1,62.8,56.0,4255,6.47,6.52,4.08,8.355850041007475,2,1,2
1.0,Premium,F,SI2,61.5,58.0,4255,6.38,6.41,3.93,8.355850041007475,3,4,1
1.0,Very Good,F,SI2,61.6,62.0,4255,6.3,6.37,3.9,8.355850041007475,2,4,1
1.26,Good,J,SI1,63.9,58.0,4255,6.78,6.74,4.32,8.355850041007475,1,0,2
1.02,Ideal,G,SI2,61.4,56.0,4255,6.52,6.47,3.99,8.355850041007475,4,3,1
0.93,Very Good,F,SI1,59.8,58.0,4256,6.32,6.39,3.8,8.35608503102148,2,4,2
1.13,Premium,H,SI1,62.6,60.0,4256,6.68,6.62,4.16,8.35608503102148,3,2,2
1.0,Fair,E,SI2,65.2,56.0,4256,6.3,6.12,4.05,8.35608503102148,0,5,1
0.91,Premium,E,SI1,62.1,58.0,4256,6.18,6.15,3.83,8.35608503102148,3,5,2
1.01,Good,E,SI1,63.8,60.0,4256,6.36,6.31,4.04,8.35608503102148,1,5,2
0.91,Good,E,SI1,63.7,64.0,4256,6.09,6.03,3.86,8.35608503102148,1,5,2
0.91,Fair,E,SI1,65.0,62.0,4256,6.09,6.04,3.94,8.35608503102148,0,5,2
1.01,Fair,H,SI1,65.3,57.0,4256,6.33,6.23,4.1,8.35608503102148,0,2,2
1.0,Ideal,H,SI2,62.6,56.0,4256,6.38,6.34,3.98,8.35608503102148,4,2,1
1.0,Fair,F,SI1,66.4,57.0,4256,6.21,6.14,4.1,8.35608503102148,0,4,2
1.0,Premium,G,SI1,61.8,59.0,4256,6.43,6.38,3.96,8.35608503102148,3,3,2
0.91,Good,G,VS2,63.6,58.0,4257,6.1,6.14,3.89,8.356319965828153,1,3,3
0.91,Ideal,G,VS2,62.3,57.0,4257,6.18,6.24,3.87,8.356319965828153,4,3,3
1.04,Good,F,SI2,58.5,61.0,4257,6.63,6.68,3.89,8.356319965828153,1,4,1
1.06,Good,E,SI2,58.8,61.0,4257,6.63,6.67,3.91,8.356319965828153,1,5,1
1.01,Premium,F,SI2,61.8,56.0,4257,6.43,6.38,3.96,8.356319965828153,3,4,1
0.9,Very Good,H,VS2,63.6,58.0,4258,6.1,6.14,3.89,8.356554845453426,2,2,3
0.92,Good,E,SI1,63.7,57.0,4258,6.11,6.14,3.9,8.356554845453426,1,5,2
0.92,Good,E,SI1,63.2,58.0,4258,6.16,6.18,3.9,8.356554845453426,1,5,2
0.92,Ideal,E,SI1,61.4,54.6,4258,6.25,6.29,3.85,8.356554845453426,4,5,2
0.92,Premium,E,SI1,60.9,59.0,4258,6.25,6.27,3.81,8.356554845453426,3,5,2
0.73,Ideal,D,VS1,61.9,55.0,4258,5.78,5.81,3.59,8.356554845453426,4,6,4
1.0,Good,E,SI2,61.5,61.0,4258,6.35,6.43,3.93,8.356554845453426,1,5,1
0.84,Very Good,G,VVS2,60.4,55.0,4259,6.07,6.12,3.68,8.356789669923213,2,3,5
1.11,Ideal,J,SI1,62.1,56.0,4259,6.64,6.67,4.13,8.356789669923213,4,0,2
1.17,Premium,F,SI2,62.5,57.0,4259,6.8,6.71,4.22,8.356789669923213,3,4,1
0.9,Premium,G,VS2,60.8,61.0,4259,6.22,6.12,3.75,8.356789669923213,3,3,3
0.9,Premium,E,SI1,62.2,59.0,4259,6.21,6.16,3.88,8.356789669923213,3,5,2
0.9,Premium,G,VS2,62.1,59.0,4259,6.2,6.14,3.83,8.356789669923213,3,3,3
1.01,Very Good,D,SI2,60.8,61.0,4260,6.45,6.5,3.94,8.357024439263416,2,6,1
1.01,Premium,G,SI1,59.2,59.0,4260,6.52,6.58,3.88,8.357024439263416,3,3,2
1.01,Very Good,D,SI2,59.8,57.0,4260,6.51,6.57,3.91,8.357024439263416,2,6,1
1.01,Good,D,SI2,57.6,62.0,4260,6.56,6.66,3.81,8.357024439263416,1,6,1
1.01,Good,D,SI2,61.5,56.0,4260,6.36,6.42,3.93,8.357024439263416,1,6,1
1.01,Very Good,D,SI2,58.9,56.0,4260,6.55,6.59,3.87,8.357024439263416,2,6,1
1.01,Very Good,D,SI2,61.8,57.0,4260,6.42,6.47,3.98,8.357024439263416,2,6,1
1.01,Good,D,SI2,63.1,54.0,4260,6.37,6.43,4.04,8.357024439263416,1,6,1
1.0,Ideal,H,SI2,61.2,57.0,4260,6.42,6.45,3.94,8.357024439263416,4,2,1
1.01,Ideal,G,SI2,61.7,56.0,4260,6.47,6.43,3.98,8.357024439263416,4,3,1
0.9,Ideal,G,SI1,62.5,55.0,4260,6.17,6.21,3.87,8.357024439263416,4,3,2
1.01,Very Good,J,VS1,61.3,57.0,4262,6.43,6.5,3.96,8.357493812658563,2,0,4
1.01,Very Good,H,SI2,61.5,62.0,4262,6.35,6.44,3.93,8.357493812658563,2,2,1
0.8,Very Good,E,VS2,61.6,57.0,4263,5.95,5.97,3.67,8.35772841676521,2,5,3
1.01,Fair,I,VS1,64.9,58.0,4263,6.17,6.22,4.02,8.35772841676521,0,1,4
1.09,Ideal,H,SI2,62.0,57.0,4264,6.61,6.55,4.08,8.357962965845681,4,2,1
0.94,Premium,H,VS2,62.5,58.0,4264,6.26,6.18,3.89,8.357962965845681,3,2,3
0.96,Very Good,G,SI1,60.3,57.0,4265,6.35,6.38,3.84,8.35819745992578,2,3,2
1.0,Fair,E,SI2,65.9,62.0,4265,6.09,6.02,3.99,8.35819745992578,0,5,1
0.91,Good,D,SI1,64.6,58.0,4265,6.02,6.12,3.92,8.35819745992578,1,6,2
1.11,Premium,J,VS2,62.6,59.0,4265,6.6,6.56,4.12,8.35819745992578,3,0,3
1.0,Good,E,SI2,63.7,61.0,4265,6.27,6.2,3.97,8.35819745992578,1,5,1
0.93,Ideal,H,VS1,62.7,54.0,4265,6.25,6.2,3.9,8.35819745992578,4,2,4
0.9,Premium,H,VS2,61.7,59.0,4266,6.13,6.19,3.8,8.358431899031295,3,2,3
1.06,Very Good,I,SI1,60.4,59.0,4267,6.56,6.61,3.98,8.358666283188,2,1,2
1.06,Ideal,H,SI2,60.6,59.0,4267,6.63,6.6,4.01,8.358666283188,4,2,1
0.91,Ideal,F,SI1,62.3,56.0,4267,6.16,6.19,3.85,8.358666283188,4,4,2
0.9,Very Good,F,VS2,64.2,59.0,4268,6.07,6.11,3.91,8.358900612421644,2,4,3
0.8,Premium,G,IF,62.6,58.0,4268,5.89,5.93,3.7,8.358900612421644,3,3,7
1.03,Very Good,H,SI2,62.3,57.0,4268,6.43,6.48,4.02,8.358900612421644,2,2,1
0.9,Good,F,VS2,65.0,58.0,4268,6.03,6.06,3.93,8.358900612421644,1,4,3
0.9,Good,F,VS2,64.5,60.0,4268,6.03,6.07,3.9,8.358900612421644,1,4,3
1.21,Premium,J,VS2,62.4,58.0,4268,6.83,6.79,4.25,8.358900612421644,3,0,3
1.03,Ideal,F,SI2,62.3,56.0,4268,6.51,6.43,4.03,8.358900612421644,4,4,1
1.01,Premium,G,SI2,60.1,59.0,4269,6.45,6.39,3.86,8.359134886757962,3,3,1
0.9,Premium,G,VS2,61.7,59.0,4269,6.14,6.22,3.81,8.359134886757962,3,3,3
0.9,Very Good,G,VS2,61.9,56.0,4269,6.17,6.23,3.84,8.359134886757962,2,3,3
0.9,Very Good,G,VS2,61.3,59.0,4269,6.15,6.21,3.79,8.359134886757962,2,3,3
0.9,Very Good,G,VS2,60.9,59.0,4269,6.18,6.24,3.78,8.359134886757962,2,3,3
0.9,Ideal,G,VS2,62.6,57.0,4269,6.14,6.2,3.86,8.359134886757962,4,3,3
0.9,Good,G,VS2,63.6,58.0,4269,6.08,6.12,3.88,8.359134886757962,1,3,3
1.0,Very Good,F,SI2,63.3,58.0,4269,6.26,6.29,3.97,8.359134886757962,2,4,1
0.9,Ideal,F,SI1,61.7,55.0,4269,6.19,6.16,3.81,8.359134886757962,4,4,2
1.01,Ideal,G,SI2,62.8,56.0,4269,6.4,6.44,4.03,8.359134886757962,4,3,1
1.1,Premium,I,SI2,62.6,59.0,4269,6.57,6.53,4.1,8.359134886757962,3,1,1
1.21,Good,J,SI2,63.7,55.0,4269,6.81,6.75,4.32,8.359134886757962,1,0,1
1.21,Premium,J,SI1,62.6,58.0,4269,6.74,6.71,4.21,8.359134886757962,3,0,2
1.01,Premium,G,SI2,60.1,60.0,4270,6.48,6.44,3.88,8.35936910622267,3,3,1
1.01,Very Good,F,SI2,63.4,54.0,4270,6.42,6.39,4.06,8.35936910622267,2,4,1
0.81,Ideal,F,VS1,61.8,55.0,4270,5.97,6.03,3.71,8.35936910622267,4,4,4
1.06,Ideal,I,SI2,61.8,57.0,4270,6.57,6.6,4.07,8.35936910622267,4,1,1
1.15,Premium,G,SI2,62.7,58.0,4270,6.71,6.69,4.2,8.35936910622267,3,3,1
1.01,Very Good,E,SI2,63.3,57.0,4270,6.39,6.31,4.02,8.35936910622267,2,5,1
1.01,Very Good,G,SI1,63.5,60.0,4271,6.41,6.38,3.92,8.359603270841466,2,3,2
0.83,Ideal,E,VS2,61.3,56.0,4271,6.06,6.08,3.72,8.359603270841466,4,5,3
1.13,Premium,I,SI2,59.9,57.0,4271,6.8,6.76,4.06,8.359603270841466,3,1,1
1.11,Very Good,I,SI1,61.9,59.0,4273,6.58,6.64,4.09,8.360071435644025,2,1,2
1.11,Ideal,I,SI1,62.4,55.0,4273,6.6,6.64,4.13,8.360071435644025,4,1,2
1.0,Very Good,H,SI2,59.7,58.0,4273,6.48,6.55,3.89,8.360071435644025,2,2,1
1.0,Good,I,SI1,58.0,58.0,4273,6.56,6.62,3.82,8.360071435644025,1,1,2
1.09,Premium,I,SI1,61.7,59.0,4273,6.59,6.53,4.05,8.360071435644025,3,1,2
1.09,Fair,I,SI1,56.4,62.0,4273,6.97,6.9,3.9,8.360071435644025,0,1,2
1.02,Premium,G,SI1,61.4,55.0,4273,6.51,6.48,3.99,8.360071435644025,3,3,2
1.2,Very Good,F,SI2,63.3,59.0,4274,6.7,6.66,4.23,8.360305435879093,2,4,1
0.74,Good,D,VVS1,59.2,62.6,4274,5.85,5.87,3.47,8.360305435879093,1,6,6
1.01,Good,H,SI1,64.6,56.0,4274,6.17,6.21,4.0,8.360305435879093,1,2,2
1.18,Premium,J,SI2,61.3,60.0,4274,6.83,6.78,4.17,8.360305435879093,3,0,1
1.0,Ideal,F,SI2,61.8,57.0,4274,6.45,6.36,3.96,8.360305435879093,4,4,1
1.03,Premium,H,SI1,62.4,58.0,4274,6.5,6.42,4.03,8.360305435879093,3,2,2
0.92,Premium,D,SI1,62.3,58.0,4274,6.27,6.21,3.89,8.360305435879093,3,6,2
1.03,Premium,H,SI1,63.0,59.0,4274,6.43,6.4,4.04,8.360305435879093,3,2,2
0.96,Premium,D,SI2,60.0,61.0,4274,6.36,6.32,3.81,8.360305435879093,3,6,1
1.2,Premium,F,SI2,62.7,60.0,4274,6.73,6.67,4.21,8.360305435879093,3,4,1
0.65,Ideal,D,VVS2,60.7,57.0,4275,5.63,5.65,3.42,8.360539381370861,4,6,5
1.1,Ideal,J,SI1,62.2,55.0,4275,6.62,6.65,4.13,8.360539381370861,4,0,2
1.01,Premium,F,SI1,62.7,54.0,4276,6.42,6.37,4.01,8.360773272144936,3,4,2
0.9,Very Good,G,VS2,58.4,61.0,4276,6.33,6.38,3.71,8.360773272144936,2,3,3
1.1,Very Good,H,SI1,63.0,58.0,4276,6.53,6.59,4.13,8.360773272144936,2,2,2
1.1,Very Good,H,SI1,62.1,58.0,4276,6.59,6.61,4.1,8.360773272144936,2,2,2
1.08,Very Good,I,SI1,60.5,60.0,4276,6.61,6.67,4.02,8.360773272144936,2,1,2
1.14,Ideal,I,SI2,62.1,55.0,4276,6.71,6.72,4.17,8.360773272144936,4,1,1
1.07,Ideal,J,SI1,62.1,56.0,4276,6.54,6.6,4.08,8.360773272144936,4,0,2
1.0,Good,H,SI1,64.9,56.0,4276,6.24,6.31,4.07,8.360773272144936,1,2,2
1.01,Good,F,SI1,64.2,58.0,4276,6.33,6.31,4.06,8.360773272144936,1,4,2
1.01,Good,F,SI1,64.1,60.0,4276,6.21,6.16,3.97,8.360773272144936,1,4,2
1.01,Fair,F,SI1,65.9,58.0,4276,6.16,6.1,4.04,8.360773272144936,0,4,2
1.01,Fair,F,SI1,67.2,60.0,4276,6.06,6.0,4.05,8.360773272144936,0,4,2
1.01,Fair,D,SI1,65.9,60.0,4276,6.32,6.18,4.12,8.360773272144936,0,6,2
1.01,Ideal,F,SI1,62.3,55.0,4276,6.38,6.31,3.95,8.360773272144936,4,4,2
1.12,Premium,E,SI2,62.4,58.0,4277,6.59,6.64,4.13,8.361007108226909,3,5,1
1.29,Fair,G,I1,66.0,58.0,4277,6.82,6.75,4.48,8.361007108226909,0,3,0
0.9,Fair,D,VS2,57.4,65.0,4277,6.26,6.29,3.6,8.361007108226909,0,6,3
1.04,Ideal,G,SI2,62.0,57.0,4277,6.6,6.53,4.07,8.361007108226909,4,3,1
1.04,Premium,G,SI2,60.9,58.0,4277,6.58,6.52,3.99,8.361007108226909,3,3,1
1.04,Premium,G,SI2,62.9,58.0,4277,6.47,6.43,4.06,8.361007108226909,3,3,1
0.9,Good,E,VS2,64.0,58.0,4278,6.02,6.07,3.87,8.361240889642351,1,5,3
1.0,Ideal,J,VS2,61.9,54.0,4278,6.41,6.45,3.98,8.361240889642351,4,0,3
0.33,Ideal,E,SI1,62.0,54.0,579,4.41,4.43,2.74,6.361302477572996,4,5,2
0.33,Ideal,E,SI1,62.5,55.0,579,4.42,4.45,2.77,6.361302477572996,4,5,2
0.33,Premium,H,VS1,59.2,58.0,579,4.5,4.55,2.68,6.361302477572996,3,2,4
0.33,Ideal,G,VS2,61.2,55.0,579,4.46,4.49,2.74,6.361302477572996,4,3,3
0.33,Ideal,E,SI1,61.9,57.0,579,4.43,4.46,2.75,6.361302477572996,4,5,2
0.32,Ideal,G,VS2,61.5,55.0,580,4.39,4.43,2.71,6.363028103540465,4,3,3
0.32,Ideal,H,VS1,61.4,55.0,580,4.43,4.49,2.74,6.363028103540465,4,2,4
0.32,Ideal,H,VS1,61.0,56.0,580,4.43,4.45,2.71,6.363028103540465,4,2,4
0.26,Premium,F,VS1,59.5,58.0,580,4.22,4.18,2.5,6.363028103540465,3,4,4
0.26,Ideal,F,VS1,62.3,56.0,580,4.1,4.08,2.55,6.363028103540465,4,4,4
0.26,Ideal,F,VS1,60.9,57.0,580,4.13,4.11,2.51,6.363028103540465,4,4,4
0.26,Premium,E,VS1,60.1,60.0,580,4.15,4.1,2.48,6.363028103540465,3,5,4
0.26,Premium,E,VS2,62.1,56.0,580,4.13,4.11,2.56,6.363028103540465,3,5,3
0.26,Premium,E,VS2,60.4,58.0,580,4.19,4.15,2.52,6.363028103540465,3,5,3
0.26,Ideal,E,VS1,61.8,55.0,580,4.13,4.09,2.54,6.363028103540465,4,5,4
0.26,Premium,E,VS1,61.9,58.0,580,4.11,4.1,2.54,6.363028103540465,3,5,4
0.26,Ideal,D,VS1,62.0,55.0,580,4.12,4.1,2.55,6.363028103540465,4,6,4
0.35,Ideal,I,SI2,61.6,55.0,580,4.62,4.53,2.82,6.363028103540465,4,1,1
0.32,Premium,E,VS2,59.3,58.0,580,4.45,4.49,2.65,6.363028103540465,3,5,3
0.3,Very Good,H,VVS2,63.0,56.0,581,4.24,4.27,2.68,6.364750756851911,2,2,5
0.3,Very Good,H,VVS2,62.0,59.0,581,4.27,4.34,2.67,6.364750756851911,2,2,5
0.3,Very Good,G,VS1,62.6,56.0,581,4.29,4.31,2.69,6.364750756851911,2,3,4
0.3,Ideal,H,VVS2,62.5,55.0,581,4.29,4.32,2.69,6.364750756851911,4,2,5
0.3,Ideal,H,VVS2,61.5,56.0,581,4.34,4.38,2.68,6.364750756851911,4,2,5
0.38,Ideal,D,SI1,62.3,57.0,581,4.6,4.65,2.88,6.364750756851911,4,6,2
0.34,Good,F,SI1,61.9,56.0,581,4.5,4.52,2.79,6.364750756851911,1,4,2
0.43,Premium,H,I1,62.0,59.0,581,4.83,4.78,2.98,6.364750756851911,3,2,0
0.31,Fair,E,VS2,55.9,62.0,581,4.6,4.56,2.56,6.364750756851911,0,5,3
0.38,Very Good,I,SI1,60.2,60.0,581,4.65,4.68,2.81,6.364750756851911,2,1,2
0.38,Ideal,I,SI1,62.3,56.0,581,4.58,4.63,2.87,6.364750756851911,4,1,2
0.97,Ideal,J,VS1,61.3,57.0,4278,6.37,6.41,3.92,8.361240889642351,4,0,4
1.07,Premium,G,SI2,58.5,61.0,4278,6.71,6.59,3.89,8.361240889642351,3,3,1
1.07,Premium,G,SI2,59.9,59.0,4278,6.67,6.61,3.98,8.361240889642351,3,3,1
1.24,Premium,E,SI2,60.8,57.0,4278,6.98,6.94,4.23,8.361240889642351,3,5,1
1.24,Premium,E,SI2,60.8,57.0,4278,6.98,6.94,4.23,8.361240889642351,3,5,1
1.07,Premium,G,SI2,59.8,60.0,4278,6.7,6.65,3.99,8.361240889642351,3,3,1
0.91,Good,F,SI1,63.9,55.0,4279,6.1,6.17,3.92,8.361474616416817,1,4,2
0.91,Very Good,F,SI1,59.7,55.0,4279,6.33,6.36,3.79,8.361474616416817,2,4,2
0.61,Ideal,D,VVS1,62.1,56.0,4279,5.46,5.43,3.38,8.361474616416817,4,6,6
1.03,Ideal,F,SI2,61.9,56.0,4280,6.47,6.43,3.99,8.361708288575842,4,4,1
1.02,Ideal,I,VS2,60.8,57.0,4281,6.42,6.5,3.93,8.361941906144946,4,1,3
1.02,Ideal,I,VS2,62.7,56.0,4281,6.37,6.43,4.01,8.361941906144946,4,1,3
0.92,Very Good,G,SI1,61.8,54.0,4281,6.25,6.37,3.9,8.361941906144946,2,3,2
0.64,Ideal,D,VVS1,61.5,56.0,4281,5.57,5.59,3.43,8.361941906144946,4,6,6
0.98,Fair,G,SI1,64.4,56.0,4281,6.33,6.24,4.03,8.361941906144946,0,3,2
1.05,Fair,I,VS1,58.9,66.0,4281,6.71,6.6,3.92,8.361941906144946,0,1,4
1.05,Very Good,E,SI2,63.2,59.0,4281,6.43,6.36,4.04,8.361941906144946,2,5,1
1.13,Very Good,F,SI2,62.3,59.0,4282,6.65,6.68,4.15,8.362175469149628,2,4,1
1.03,Very Good,F,SI1,62.5,59.0,4282,6.41,6.45,4.02,8.362175469149628,2,4,2
1.03,Ideal,J,VS2,61.6,57.0,4283,6.52,6.47,4.0,8.36240897761537,4,0,3
1.11,Very Good,J,VS2,61.8,56.0,4283,6.59,6.64,4.09,8.36240897761537,2,0,3
1.1,Very Good,J,SI2,61.8,58.0,4283,6.6,6.63,4.09,8.36240897761537,2,0,1
1.03,Very Good,H,SI2,62.8,59.0,4283,6.4,6.43,4.03,8.36240897761537,2,2,1
1.03,Ideal,H,SI2,60.6,56.0,4283,6.53,6.63,3.99,8.36240897761537,4,2,1
1.11,Premium,F,SI2,62.1,58.0,4283,6.63,6.51,4.1,8.36240897761537,3,4,1
1.07,Premium,E,SI2,60.5,59.0,4284,6.59,6.67,4.01,8.36264243156764,3,5,1
0.91,Good,G,VS1,63.4,54.0,4284,6.07,6.24,3.9,8.36264243156764,1,3,4
0.91,Good,G,VS1,63.6,60.0,4284,6.03,6.11,3.86,8.36264243156764,1,3,4
0.91,Good,G,VS1,63.2,58.0,4284,6.07,6.15,3.86,8.36264243156764,1,3,4
0.81,Premium,D,VS1,62.3,58.0,4284,5.94,6.0,3.72,8.36264243156764,3,6,4
0.91,Very Good,E,SI1,62.1,60.0,4284,6.21,6.25,3.87,8.36264243156764,2,5,2
